Timestamp,Have you ever posted a preprint?,Which most closely describes your current position?,Where do you primarily work?,On what preprint server did you post your most recent preprint?*,How long ago did you post your last preprint?,What discipline does this preprint fall under? Please check all that apply.,Did you choose the license for this preprint?,Why didn't you choose the license for this preprint?,What license was the preprint under?,What license did you choose for this preprint?,What factors were important to you in selecting this license for your preprint? [Preprint server default or recommended license],What factors were important to you in selecting this license for your preprint? [How other preprints have been licensed (on the server or in your field)],What factors were important to you in selecting this license for your preprint? [Journal policies or recommendations],What factors were important to you in selecting this license for your preprint? [Funder policies or recommendations],What factors were important to you in selecting this license for your preprint? [Library or university recommendations/resources],"What factors were important to you in selecting this license for your preprint? [Other recommendations/resources (not journal, funder, or university)]",What factors were important to you in selecting this license for your preprint? [Coauthor wishes],What factors were important to you in selecting this license for your preprint? [Potential reuse of the preprint],"If factors not listed above were important to you, please explain below.","If and when this preprint is published at your chosen journal, what do you expect the license will be?",What factors are important to you in selecting this license for your published paper? [Journal default or recommended license],What factors are important to you in selecting this license for your published paper? [How other papers have been licensed (in the journal or your field)],What factors are important to you in selecting this license for your published paper? [Additional fees for certain licenses],What factors are important to you in selecting this license for your published paper? [Funder policies or recommendations],What factors are important to you in selecting this license for your published paper? [Library or university recommendations/resources],"What factors are important to you in selecting this license for your published paper? [Other recommendations/resources (not journal, funder, or university)]",What factors are important to you in selecting this license for your published paper? [Coauthor wishes],What factors are important to you in selecting this license for your published paper? [Potential reuse of the paper],"If factors not listed above were important to you, please explain below.","If you expect the license of the final version will be different from the license you selected for the preprint, please explain the difference in your choices.","What would you like others to be able to do with your preprint, without having to ask for your permission? Assume, unless noted, that your work would be attributed to you and your co-authors.",Do you have any other comments regarding preprint licensing?
2/16/2018 10:25:40,Yes,Independent Researcher,Europe,PaleorXiv,6-12 months ago,Palaeontology,Yes,,,CC BY,Very important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 10:28:23,Yes,Faculty member,North America,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY,Not at all important,Not at all important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Very important,,"CC BY (default for PLOS, BMC, etc)",Not at all important,Not at all important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 10:32:45,Yes,Faculty member,South America,bioRxiv,6-12 months ago,Biology,Yes,,,CC BY-NC,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Very important,,CC BY-NC,Somewhat important,Not at all important,Somewhat important,Not at all important,Not at all important,Not at all important,Somewhat important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 10:57:17,Yes,Postdoc,North America,bioRxiv,Within the last month,Biology,No,Another author made this choice,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations)",
2/16/2018 11:02:36,Yes,Graduate Student,Europe,bioRxiv,6-12 months ago,Biology,Yes,,,CC BY,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,"CC BY (default for PLOS, BMC, etc)",Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/16/2018 11:03:16,Yes,Science Policy Analyst,North America,PeerJ Preprints,Within the last month,Biology,Yes,,,CC BY,Not at all important,Somewhat important,Not at all important,Not at all important,Not at all important,Somewhat important,Very important,Not at all important,"I don't fully understand the implications of all the various licenses, and I relied on my coauthors' expertise to select the license.",Don't know,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Translate the preprint into another language (e.g. Spanish), I'm not opposed to some of the options above that were not checked. But there is some nuance, like how best to represent my work, that I would want some discussion/consideration of.",
2/16/2018 11:03:58,Yes,Faculty member,North America,bioRxiv,6-12 months ago,"Biology, Computer Science",Yes,,,CC BY,Not at all important,Not at all important,Somewhat important,Very important,Not at all important,Very important,Somewhat important,Very important,,"CC BY (default for PLOS, BMC, etc)",Not at all important,Somewhat important,Don't know,Very important,Somewhat important,Very important,Somewhat important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 11:05:13,Yes,Postdoc,Europe,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY,Not at all important,Somewhat important,Very important,Somewhat important,Not at all important,Don't know,Very important,Don't know,,Don't know,Very important,Very important,Somewhat important,Very important,Don't know,Don't know,Don't know,Don't know,,,"Download my paper for reading, Download my paper and share it with others",
2/16/2018 11:09:07,Yes,Faculty member,North America,bioRxiv,Over 12 months ago,"Biology, NEuroscience",No,The preprint server offered only one,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited",
2/16/2018 11:26:01,Yes,Postdoc,Europe,bioRxiv,6-12 months ago,Biology,No,Another author made this choice,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",It is something I will look at more closely in the future
2/16/2018 11:36:49,Yes,Faculty member,Europe,bioRxiv,6-12 months ago,Biology,Yes,,,CC BY,Not at all important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Somewhat important,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,I'm sorry I have no idea. That preprint is in revision at Nature Commun. I probably have to sign away who knows what and still pay them thousands of dollars.,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish), I know that the most liberal licences permit all(?) of these but I admit that some make me uneasy.","I know that this is important and I promise I have tried to understand licencing, but I simply don't understand it and there is conflicting advice on what to do."
2/16/2018 11:40:09,Yes,Faculty member,Europe,arXiv,Over 12 months ago,Biology,No,The preprint server offered only one,All rights reserved or standard arXiv license,,,,,,,,,,,,,,,,,,,,,,Download my paper for reading,
2/16/2018 12:12:34,Yes,Postdoc,North America,bioRxiv,1-6 months ago,Biology,No,Another author made this choice,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Use a figure in their academic talks, regardless of where they live in the world, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 12:13:53,Yes,Postdoc,Europe,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY,Not at all important,Not at all important,Somewhat important,Very important,Not at all important,Not at all important,Not at all important,Don't know,,"No creative commons license (default for Nature, Science, etc)",Very important,Don't know,Somewhat important,Somewhat important,Not at all important,Not at all important,Not at all important,Don't know,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/16/2018 12:42:14,Yes,"Faculty member, Editor",North America,ChemRxiv,1-6 months ago,"Biology, Chemistry",Yes,,,CC BY,Not at all important,Somewhat important,Not at all important,Not at all important,Somewhat important,Very important,Somewhat important,Very important,,"No creative commons license (default for Nature, Science, etc)",Not at all important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,Huge cost associated with CC-BY in most journals.,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)","OK with reuse broadly for basically any purpose, including commercial, as long as attribution/link to original source is given."
2/16/2018 13:07:41,Yes,Faculty member,Europe,arXiv,1-6 months ago,Physics,No,Another author made this choice,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 13:48:31,Yes,Faculty member,North America,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY-NC,Somewhat important,Not at all important,Not at all important,Very important,Not at all important,Not at all important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Not at all important,Not at all important,Very important,Not at all important,Not at all important,Very important,Very important,,Less concerned about commercial use than I was in the past. ,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 14:03:25,Yes,Citizen Scientist,Europe,PeerJ Preprints,Over 12 months ago,"Biology, Social Sciences",Yes,,,CC BY,Very important,Very important,Very important,Not at all important,Not at all important,Not at all important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Very important,Not at all important,Somewhat important,Somewhat important,Don't know,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/16/2018 14:16:05,Yes,Postdoc,Europe,bioRxiv,6-12 months ago,Biology,Yes,,,CC BY,Somewhat important,Somewhat important,Don't know,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,My preferred choice,"CC BY (default for PLOS, BMC, etc)",Not at all important,Not at all important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,My preferred choice,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 14:16:37,Yes,"Faculty member, Editor",South America,bioRxiv,Within the last month,Biology,Yes,,,CC0,Very important,Not at all important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,Don't know,Very important,Very important,Very important,Not at all important,Not at all important,Not at all important,Somewhat important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 14:18:20,Yes,Staff scientist,North America,OSF Preprints,1-6 months ago,"Computer Science, Social Sciences",Yes,,,CC BY,Somewhat important,Somewhat important,Not at all important,Not at all important,Not at all important,Very important,Somewhat important,Very important,"License content -- i.e. allow for re-use, require credit ","CC BY (default for PLOS, BMC, etc)",Very important,Not at all important,Very important,Very important,Somewhat important,Not at all important,Somewhat important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)","I do not _like_ some of the commercial options, but am willing to accept them giving how problematic NC can turn out to be in practice"
2/16/2018 14:53:06,Yes,Postdoc,Europe,bioRxiv,Within the last month,Biology,Yes,,,CC BY-NC-ND,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,Don't know,Don't know,Somewhat important,Don't know,Don't know,Don't know,Don't know,Somewhat important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it",
2/16/2018 15:16:05,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2018 15:50:52,Yes,Staff scientist,Europe,bioRxiv,Over 12 months ago,Biology,Yes,,,CC BY,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,Somewhat important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Somewhat important,Not at all important,Very important,Somewhat important,Very important,Somewhat important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 16:02:12,Yes,Postdoc,Europe,bioRxiv,Within the last month,"Biology, Mathematics, Computer Science",Yes,,,CC BY-NC-ND,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Not at all important,Very important,Somewhat important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Somewhat important,Very important,Somewhat important,Not at all important,Not at all important,Somewhat important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/16/2018 16:30:37,Yes,Faculty member,North America,bioRxiv,Within the last month,Biology,Yes,,,CC BY-NC-ND,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,CC BY-NC-ND,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/16/2018 17:01:21,Yes,Independent scientist,Europe,academia.edu and researchgate.net,6-12 months ago,Biology,No,The preprint server offered only one,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it",
2/16/2018 17:34:17,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2018 18:18:41,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2018 20:01:28,Yes,Postdoc,North America,bioRxiv,1-6 months ago,Biology,Yes,,,Don't know,Very important,Not at all important,Don't know,Don't know,Don't know,Somewhat important,Somewhat important,Don't know,,"CC BY (default for PLOS, BMC, etc)",Very important,Don't know,Somewhat important,Somewhat important,Don't know,Don't know,Don't know,Don't know,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Translate the preprint into another language (e.g. Spanish)",
2/16/2018 20:42:27,Yes,Editor,North America,bioRxiv,6-12 months ago,Biology,Yes,,,CC BY,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,"CC BY (default for PLOS, BMC, etc)",Not at all important,Not at all important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
